time,flux,flux0,scanD,orbit,weights
98318.01598370075,678318480.223,24804.138968826497,0.0,17.0,0.0
98470.94398140907,677582418.838,24777.22333934649,1.0,17.0,0.0
98623.8719791174,678419982.869,24807.850626123905,0.0,17.0,0.0
98777.66398340464,677583756.869,24777.272267258424,1.0,17.0,0.0
98930.59198111296,678450289.374,24808.958847090304,0.0,17.0,0.0
99083.51997882128,677649763.703,24779.685945687015,1.0,17.0,0.0
99236.4479765296,678578833.595,24813.659336335822,0.0,17.0,0.0
102371.03998661041,677255917.171,24765.284120590186,1.0,18.0,1.0
102523.96798431873,678413884.801,24807.6276374681,0.0,18.0,1.0
102676.89598202705,677778399.975,24784.389800970555,1.0,18.0,1.0
102829.82397973537,678675802.582,24817.205210876087,0.0,18.0,1.0
102983.61598402262,677949712.3,24790.654195705865,1.0,18.0,1.0
103136.54398173094,678814207.264,24822.266268574436,0.0,18.0,1.0
103289.47197943926,678108258.093,24796.45175540261,1.0,18.0,1.0
103442.39997714758,678937621.37,24826.779164397252,0.0,18.0,1.0
103595.32801508904,678188788.877,24799.396532547624,1.0,18.0,1.0
103748.25601279736,679020087.459,24829.794710031656,0.0,18.0,1.0
103901.18401050568,678201021.354,24799.84383874418,1.0,18.0,1.0
104054.112008214,679037267.467,24830.42293308372,0.0,18.0,1.0
104207.04000592232,678284931.2,24802.912178383627,1.0,18.0,1.0
104359.96800363064,679057514.036,24831.16329137523,0.0,18.0,1.0
104512.89600133896,678273827.023,24802.506130844788,1.0,18.0,1.0
104665.82399904728,679097629.774,24832.63020753512,0.0,18.0,1.0
104819.61600333452,678412897.484,24807.591534149688,1.0,18.0,1.0
104972.54400104284,679112097.589,24833.15925355745,0.0,18.0,1.0
